
Directory:
Name: babar.txt, Size: 49, Start Block: 0, Parent: Root, IsDeleted: No
Name: b.txt, Size: 55, Start Block: 1, Parent: Root, IsDeleted: No
Name: talha, Size: 0, Start Block: -1, Parent: Root, IsDeleted: No
Name: t.txt, Size: 0, Start Block: 2, Parent: Root, IsDeleted: No
Name: c.txt, Size: 0, Start Block: 3, Parent: talha, IsDeleted: No
Name: arg.txt, Size: 0, Start Block: 4, Parent: Root, IsDeleted: Yes
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
Name: , Size: 0, Start Block: 0, Parent: , IsDeleted: No
